Command,Hex Code,ASCII
Gamma - C,21 89 01 52 43 37 33 33 42 0A,3B
Gamma - Custom 1,21 89 01 52 43 37 33 33 43 0A,3C
Gamma - Custom 2,21 89 01 52 43 37 33 33 44 0A,3D
Gamma - Custom 3,21 89 01 52 43 37 33 33 45 0A,3E
Gamma - D (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 33 46 0A,3F
Gamma - Normal,21 89 01 52 43 37 33 33 38 0A,38
Gamma + (cycles through all options),21 89 01 52 43 37 33 37 35 0A,75
"Hide - Off
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 44 31 0A,D1
"Hide - On
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 44 30 0A,D0
Hide (On/Off toggle),21 89 01 52 43 37 33 31 44 0A,1D
"Horizontal Position –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 42 0A,AB
"Horizontal Position +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 41 0A,AA
Information (displays Information tab of menu),21 89 01 52 43 37 33 37 34 0A,74
Input - Component,21 89 01 52 43 37 33 34 44 0A,4D
Input - HDMI 1,21 89 01 52 43 37 33 37 30 0A,70
Input - HDMI 2,21 89 01 52 43 37 33 37 31 0A,71
Input - PC (HD750/950/990/X7/X9/X70/X90 RS20/25/35/50/60/55/65),21 89 01 52 43 37 33 34 36 0A,46
Input - S-Video (HD350/550/750/950/990),21 89 01 52 43 37 33 34 43 0A,4C
Input - Video (HD350/550/750/950/990),21 89 01 52 43 37 33 34 42 0A,4B
Input + (cycles through all available inputs),21 89 01 52 43 37 33 30 38 0A,8
ISF - Day (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 36 34 0A,64
ISF - Night (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 36 35 0A,65
ISF - Off (HD950/990/X7/X9/X70/X90/ RS25/35/50/60/55/65),21 89 01 52 43 37 33 35 41 0A,5A
ISF - On (HD950/990/X7/X9/X70/X90/ RS25/35/50/60/55/65),21 89 01 52 43 37 33 35 42 0A,5B
Keystone Correction Horizontal –,21 89 01 52 43 37 33 34 31 0A,41
Keystone Correction Horizontal +,21 89 01 52 43 37 33 34 30 0A,40
Keystone Correction Vertical –,21 89 01 52 43 37 33 31 43 0A,1C
Keystone Correction Vertical +,21 89 01 52 43 37 33 31 42 0A,1B
Lens Aperture - 1 (HD350/HD550),21 89 01 52 43 37 33 32 38 0A,28
Lens Aperture - 2 (HD350/HD550),21 89 01 52 43 37 33 32 39 0A,29
Lens Aperture - 3 (HD350/HD550),21 89 01 52 43 37 33 32 41 0A,2A
"Lens Aperture – If Lens Aperture Gauge is not displayed - displays gauge. If Lens Aperture Gauge is already displayed - Lens Aperture is decreased
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 31 46 0A,1F
"Lens Aperture + If Lens Aperture Gauge is not displayed - displays gauge. If Lens Aperture Gauge is already displayed - Lens Aperture is increased
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 31 45 0A,1E
